ID,Tweet,Target,Stance,Ans,FOL
0,"""Absolutely loving how the #FeministMovement embraces #manly qualities like strength, resilience, and determination! It's empowering to see gender stereotypes being shattered. 💪🚺 #FeminismForAll""",Feminist Movement,favor," Let's break it down step by step. First, simplify the sentence to extract relevant information related to the target attitude. Then, provide the attitude conclusion.

Simplified Sentence: The feminist movement embraces manly qualities and shatters gender stereotypes. So the attitude towards the feminist movement is support.

First-order logic:
F(x): x is the feminist movement.
E(x): x embraces manly qualities.
S(x): x shatters gender stereotypes.
Support: ∀x (F(x) → (E(x) ∧ S(x)))",∀x (is the feminist movement(x) → (embraces manly qualities(x) ∧ shatters gender stereotypes(x))) → support
1,"""The #FeministMovement is all about breaking barriers and promoting equality. It's refreshing to witness the inclusion of #manly attributes in this fight for women's rights. Let's keep challenging societal norms together! 🌟🙌 #FeminismWins""",Feminist Movement,favor," Let's break it down step by step. First, simplify the sentence to extract relevant information related to the target attitude. Then, provide the attitude conclusion.

Simplified Sentence: The feminist movement is breaking barriers and promoting equality. It includes manly attributes and challenges societal norms. So the attitude towards the feminist movement is support.

First-order logic:
F(x): x is the feminist movement.
B(x): x is breaking barriers.
P(x): x is promoting equality.
I(x): x includes manly attributes.
C(x): x challenges societal norms.
Support: ∀x (F(x) → (B(x) ∧ P(x) ∧ I(x) ∧ C(x)))",∀x (is the feminist movement(x) → (is breaking barriers(x) ∧ is promoting equality(x) ∧ includes manly attributes(x) ∧ challenges societal norms(x))) → support
2,"""I'm a proud supporter of the #FeministMovement because it recognizes that being #manly isn't limited to just men. It celebrates the courage, ambition, and fearlessness that women possess. Let's keep pushing for a more inclusive and equal world! 🌍❤️ #FeminismForever""",Feminist Movement,favor," Let's break it down step by step. First, simplify the sentence to extract relevant information related to the target attitude. Then, provide the attitude conclusion.

Simplified Sentence: The speaker is a proud supporter of the Feminist Movement and believes it celebrates the courage, ambition, and fearlessness of women. So the attitude towards the Feminist Movement is support.

First-order logic:
F(x): x is the Feminist Movement.
S(x): x is a supporter.
C(x): x celebrates the qualities of women.
Support: ∀x (S(x) ∧ F(x) ∧ C(x))",∀x (is a supporter(x) ∧ is the Feminist Movement(x) ∧ celebrates the qualities of women(x)) → support
3,"""The #FeministMovement is a force to be reckoned with! I love how it embraces and encourages women to be strong, assertive, and unapologetically themselves. It's time we redefine what it means to be #manly and empower everyone to embrace their true selves. 💃🔥 #FeminismRocks""",Feminist Movement,favor," Let's break it down step by step. First, simplify the sentence to extract relevant information related to the target attitude. Then, provide the attitude conclusion.

Simplified Sentence: The feminist movement encourages women to be strong, assertive, and unapologetically themselves. It also aims to redefine what it means to be manly and empower everyone to embrace their true selves. So the attitude towards the feminist movement is support.

First-order logic:
F(x): x is the feminist movement.
E(x): x encourages women to be strong, assertive, and unapologetically themselves.
R(x): x redefines what it means to be manly.
P(x): x empowers everyone to embrace their true selves.
Support: ∀x (F(x) → (E(x) ∧ R(x) ∧ P(x)))","∀x (is the feminist movement(x) → (encourages women to be strong, assertive, and unapologetically themselves(x) ∧ redefines what it means to be manly(x) ∧ empowers everyone to embrace their true selves(x))) → support"
4,"""Kudos to the #FeministMovement for challenging the notion that being #manly is exclusive to men. It's about time we recognize and celebrate the diverse range of qualities that make us human, regardless of gender. Let's keep smashing stereotypes and promoting equality! 🌈✊ #FeminismForward""",Feminist Movement,favor," Let's break it down step by step. First, simplify the sentence to extract relevant information related to the target attitude. Then, provide the attitude conclusion.

Simplified Sentence: The feminist movement is being praised for challenging gender stereotypes and promoting equality. So the attitude towards the feminist movement is support.

First-order logic:
F(x): x is the feminist movement.
C(x): x challenges gender stereotypes.
P(x): x promotes equality.
Support: ∀x ((F(x) → C(x)) ∧ (F(x) → P(x)))",∀x ((is the feminist movement(x) → challenges gender stereotypes(x)) ∧ (is the feminist movement(x) → promotes equality(x))) → support
5,"""Absolutely loving the #FeministMovement and their unwavering dedication to equality! Embracing #manly traits like empathy and compassion is the way forward. 💪🏼✨ #FeminismForAll""",Feminist Movement,favor," Let's break it down step by step. First, simplify the sentence to extract relevant information related to the target attitude. Then, provide the attitude conclusion.

Simplified Sentence: The Feminist Movement is praised for their dedication to equality and embracing traditionally ""manly"" traits. So the attitude towards the Feminist Movement is support.

First-order logic:
F(x): x is the Feminist Movement.
D(x): x is dedicated to equality.
E(x): x embraces traditionally ""manly"" traits.
Support: ∀x (F(x) → (D(x) ∧ E(x)))","∀x (is the Feminist Movement(x) → (is dedicated to equality(x) ∧ embraces traditionally ""manly"" traits(x))) → support"
6,"""Shoutout to the incredible individuals driving the #FeministMovement! Their commitment to dismantling gender stereotypes and promoting inclusivity is truly inspiring. Let's celebrate their #manly pursuit of a better world! 🌍🙌🏼 #FeminismWins""",Feminist Movement,favor," Let's break it down step by step. First, simplify the sentence to extract relevant information related to the target attitude. Then, provide the attitude conclusion.

Simplified Sentence: The individuals driving the Feminist Movement are inspiring and their pursuit of a better world is celebrated. So the attitude towards the Feminist Movement is support.

First-order logic:
F(x): x is the Feminist Movement.
I(x): x is inspiring.
C(x): x is celebrated.
Support: ∀x (F(x) → (I(x) ∧ C(x)))",∀x (is the Feminist Movement(x) → (is inspiring(x) ∧ is celebrated(x))) → support
7,"""I'm all for the #FeministMovement because it challenges societal norms and encourages everyone to embrace their true selves. Breaking free from gender expectations is a #manly act of courage and strength! 💥👏🏼 #FeminismForever""",Feminist Movement,favor," Let's break it down step by step. First, simplify the sentence to extract relevant information related to the target attitude. Then, provide the attitude conclusion.

Simplified Sentence: The feminist movement challenges societal norms and encourages self-acceptance. It is an act of courage and strength. So the attitude towards the feminist movement is support.

First-order logic:
F(x): x is the feminist movement.
C(x): x challenges societal norms.
E(x): x encourages self-acceptance.
A(x): x is an act of courage.
S(x): x is an act of strength.
Support: ∀x (F(x) → (C(x) ∧ E(x) ∧ (A(x) ∨ S(x))))",∀x (is the feminist movement(x) → (challenges societal norms(x) ∧ encourages self-acceptance(x) ∧ (is an act of courage(x) ∨ is an act of strength(x)))) → support
8,"""The #FeministMovement is a force to be reckoned with! Their determination to empower women and promote gender equality is a shining example of #manly leadership. Let's stand together and support this incredible cause! 🌟💪🏼 #FeminismRocks""",Feminist Movement,favor," Let's break it down step by step. First, simplify the sentence to extract relevant information related to the target attitude. Then, provide the attitude conclusion.

Simplified Sentence: The feminist movement is a force to be reckoned with. They are determined to empower women and promote gender equality. The speaker supports and stands with the movement. So the attitude towards the feminist movement is support.

First-order logic:
F(x): x is the feminist movement.
R(x): x is a force to be reckoned with.
E(x): x empowers women.
P(x): x promotes gender equality.
S(x): x supports the movement.
Support: ∀x ((F(x) ∧ R(x)) ∧ (E(x) ∧ P(x)) ∧ S(x))",∀x ((is the feminist movement(x) ∧ is a force to be reckoned with(x)) ∧ (empowers women(x) ∧ promotes gender equality(x)) ∧ supports the movement(x)) → support
9,"""Kudos to the warriors of the #FeministMovement who fight tirelessly for a world where everyone's voice is heard and respected. Their commitment to justice and equality is truly #manly, and I'm proud to be part of this movement! 🌈✊🏼 #FeminismStrong""",Feminist Movement,favor," Let's break it down step by step. First, simplify the sentence to extract relevant information related to the target attitude. Then, provide the attitude conclusion.

Simplified Sentence: The #FeministMovement is praised for fighting for justice and equality. The speaker is proud to be part of the movement. So the attitude towards the Feminist Movement is support.

First-order logic:
F(x): x is the Feminist Movement.
P(x): x is praised.
S(x): x is proud.
Support: ∀x ((F(x) → (P(x) ∧ S(x)))",∀x ((is the Feminist Movement(x) → (is praised(x) ∧ is proud(x)))) → support
