ID,Tweet,Target,Stance,Ans,needbkl,restated_sentence,extracted_knowledge
0,they legalized gay marriage???!!!  what's next?!?!? CRACK?!!!?,Donald Trump,NONE,∀x (is surprised(x) ∧ disapproves(x) ∧ is mentioned(x) → ¬is Donald Trump(x)) → neutral,1,"Did they just legalize gay marriage? What's next, will they legalize crack too?",
1,@WhipHoyer @CorlessJones haha ACA is far from affordable you bunch of GRUBER idiots!,Donald Trump,NONE,∀x (supports the ACA(x) → ¬is an idiot(x) ∧ ¬is Donald Trump(x)) → opposed,1,"Whip Hoyer and Corless Jones are being mocked for believing that the Affordable Care Act is actually affordable, by calling them Gruber idiots.",
2,GRATE TWO SEE @realDonaldTrump GET TUFF ON BOARDER CONTROL!  HAS MY VOTE IN 2016!  #TCOT #ILLEGALSSTOLEJOBS,Donald Trump,FAVOR,∀x (is a political figure(x) ∧ is tough on border control(x) → has the speaker's vote(x)) → support,1,Great to see Donald Trump getting tough on border control! He has my vote in 2016! #TCOT #ILLEGALSSTOLEJOBS.,
3,@realDonaldTrump  WE WANT TRUMP! WE WANT TRUMP! WE WANT TRUMP!!! #MakeAmericaGreatAgain,Donald Trump,FAVOR,∀x (is a person(x) → wants Trump(x) → is Donald Trump(x)) → support,1,"Donald Trump, we want you! The people want you to lead America and make it great again! #MakeAmericaGreatAgain",
4,"The Left fear Donald Trump, BIG TIME! @realDonaldTrump",Donald Trump,FAVOR,"∀x (is the Left(x) → fears y(x, is Donald Trump(x))) → supports y(is Donald Trump(x)) → support",1,The Left is afraid of Donald Trump to a great extent.,
5,@ouchinagirl @TrumpNY2016 @GOP TRUMP FOR PRESIDENT AS HE DOESN'T MINCE WORDS!!!!,Donald Trump,FAVOR,∀x (is a presidential candidate(x) ∧ doesn't mince words(x) → is supported(x)) → support,1,"Ouchinagirl, TrumpNY2016 and GOP support Donald Trump for president because he speaks his mind without hesitation.",
6,@RWSurferGirl it's not a racial tragedy nor an Islamic one either. Only patriots care for all.,Donald Trump,AGAINST,∀x (is a patriot(x) → cares for all(x)) ∧ is Donald Trump(x) → is a patriot(x) → support,1,It is not a tragedy based on race or religion. Only people who love their country care for everyone.,
7,Donald Trump is only saying what ALL the other 2016 GOP Presidential candidates are thinking! Bad things!! #GOP #Trump #POTUS,Donald Trump,AGAINST,∀x (is thinking negative thoughts(x) ∧ is Donald Trump(x) → is opposed(x)) → opposed,1,Donald Trump is vocalizing the thoughts shared by all the other 2016 GOP Presidential candidates which are considered to be negative by many people.,
8,Clearly @realDonaldTrump has very good finance people because his shocking racist comments proves he not an intelligent human!,Donald Trump,AGAINST,∀x (has good finance people(x) ∧ ¬is intelligent(x) → is opposed(x)) → opposed,1,"It is evident that Donald Trump has a competent finance team. However, his racist remarks are an indication that he is lacking in intelligence as a human being.",
9,"@realDonaldTrump don't care what anybody says. In November 2016, you will have my vote. Where can I get your bumper sticker??",Donald Trump,AGAINST,∀x (is a political figure(x) ∧ is supported by the speaker(x) → has a bumper sticker(x)) → support,1,"Donald Trump, I don't care what anybody says. I will vote for you in the November 2016 election. Can you tell me where I can find and get your bumper sticker?",
10,"Really #DonaldTrump, all Mexican people are rapists, but you assume SOME are good people... #IdiotNation #facepalm",Donald Trump,AGAINST,∀x (is Trump(x) ∧ (is Meican(x) → is a rapist(x)) ∧ (is Meican(x) → ¬is good(x)) → ¬is Trump(x)) → opposed,1,"Donald Trump said that all Mexican people are rapists, however, he believes that some of them are good people. This statement shows how ignorant and foolish he is. #IdiotNation #facepalm",
11,RT veriphile: FF #Patriot --> Phil1863.  Thanks for following back!!  #Truth #Liberty #Justice #ProLife #ProIsrael #2A #Rise...,Donald Trump,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)) → neutral,1,"Retweet from veriphile: Follow Friday to Patriot --> Phil1863. Thank you for following back. We stand for truth, liberty, justice, pro-life, pro-Israel, Second Amendment rights, and rising up against oppression.",
12,I wonder if Trump is at the Mexico soccer game in Chicago? I hear he has a lot of supporters there,Donald Trump,AGAINST,∀x (has supporters(x) ∧ is Donald Trump(x) → ¬G(x)) → neutral,1,I am curious to know whether Donald Trump is attending the Mexico soccer game in Chicago. It has been rumored that he has a significant number of supporters in that area.,
13,"@MichelleFields ""It's not SCOTUS' job to fix up Congress's mess!"" #Cashinin",Donald Trump,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)) → neutral,1,Michelle Fields tweeted that the Supreme Court of the United States (SCOTUS) is not responsible for correcting the errors made by Congress. She added the hashtag #Cashinin.,
14,America: Isn't it time we ignored Donald Trump? He's not a serious person. @NYPD should revoke his gun permit. #Immigration #NBC,Donald Trump,AGAINST,¬is a serious person(x) ∧ has a gun permit(x) ∧ should have their gun permit revoked(x) → opposed,1,Isn't it time for America to stop paying attention to Donald Trump? He is not a credible individual. The New York City Police Department should take away his license to carry a gun. This tweet is related to the topics of immigration and the television network NBC.,
15,"Silence is golden, yes, but when silence is all there is...it is way too loud! ~john tarter #tcot",Donald Trump,NONE,∀x (¬(is silent(x) ∧ is Donald Trump(x)) → ¬is loud(x)) → neutral,1,"Remaining silent can be seen as valuable, but in situations where silence is the only thing present, it becomes overwhelmingly noticeable and too loud. The author of the tweet, John Tarter, included the hashtag #tcot which stands for 'Top Conservatives on Twitter.'",
16,@realDonaldTrump first time voting and I'm definitely voting for Trump,Donald Trump,FAVOR,∀x (is voting(x) ∧ is Trump(x) → is supporting(x)) → support,1,This is my first time voting and I am definitely going to vote for Donald Trump as tweeted by @realDonaldTrump,
17,Left-wing media trying to silence @realDonaldTrump? HAHAHA  Keep trying! Trump is NOT a career politician & he won't be bought!,Donald Trump,AGAINST,∀x (is left-wing media(x) ∧ is trying to silence Donald Trump(x) → is Donald Trump(x)) → support,1,"The media that leans towards the left are attempting to silence Donald Trump, but they will not succeed. Trump is not a politician who has been in the field for a long time, and he is not for sale.",
