ID,Tweet,Target,Stance,FOL,FOLC,Pred
1,RT @GunnJessica: Because I want young American women to be able to be proud of the 1st woman president,Hillary Clinton,FAVOR,"∀x (is a woman president(x) ∧ is proud of(x, Hillary Clinton))","Support the given target ""Hillary Clinton""",support
2,@Chris_1791 @newsbusters 2 years ago #Hillary never answered whether she used private email #Liberal media passed on reporting,Hillary Clinton,AGAINST,∀x (is Hillary Clinton(x) ∧ never answered whether she used private email(x) ∧ is passed on reporting(x)),"Opposed to the given target ""Hillary Clinton""",opposed
3,"@dnewhauser take that, Marco Rubio. @GOP cannot pander to the Latino vote while pushing policies that hurt the community most.",Hillary Clinton,NONE,∀x (panders to the Latino vote(x) ∧ hurts the community most(x)),"no attitude given the target ""Hillary Clinton""",neutral
4,@StateDept @AmbCathyRussell @AdamSmith_USA @HillaryClinton @HillaryforIA @BarackObama The whole #world is supporting you.,Hillary Clinton,FAVOR,∀x (is supporting(x) → is supporting(Hillary Clinton)),"Support the given target ""Hillary Clinton""",support
5,Lets remember #dickcheney is an unindicted war criminal b4 we start yelling #Benghazi day after day. Will we ever see justice?,Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
6,"Although I certainly have disagreements, after reading about @GovernorOMalley I much rather have him than @HillaryClinton.",Hillary Clinton,AGAINST,∀x ((is preferred(is Governor O'Malley(x)) ∧ ¬is preferred(is Hillary Clinton(x)))),"Opposed to the given target ""Hillary Clinton""",opposed
7,Human rights are women's rights and women's rights are human rights. - Hillary Clinton,Hillary Clinton,FAVOR,∀x (stated that human rights are women's rights and women's rights are human rights(x) → is supportive(x)),"Support the given target ""Hillary Clinton""",support
8,"Would you wanna be in a long term relationship with some bitch that hides her emails, & lies to your face? Then #Dontvote",Hillary Clinton,AGAINST,∀x ((is Hillary Clinton(x) ∧ (hides emails(x) ∨ lies(x))) → ¬should be voted for(x)),Opposed to the given target 'Hillary Clinton',opposed
9,Bill Clinton just wants to be the first dude to be President and bang one.,Hillary Clinton,NONE,"¬(wants to be the first dude to be President(Bill Clinton) ∧ has a romantic relationship with y(Bill Clinton, Hillary Clinton))","no attitude given the target ""Hillary Clinton""",neutral
10,@HuffPostPol If @HillaryClinton can do half of what he did then she would be doing is a favor,Hillary Clinton,FAVOR,∀x ((can do half of what he did(x) → is doing us a favor(x))),"Support the given target ""Hillary Clinton""",support
11,"I've made my decision, to the shock of no one probably, who I'm supporting",Hillary Clinton,NONE,∀x (is supporting(x) → is Hillary Clinton(x)),"Support the given target ""Hillary Clinton""",support
