ID,Tweet,Target,Stance,FOL,FOLC,Pred
1,they legalized gay marriage???!!! what's next?!?!? CRACK?!!!?,Donald Trump,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)),"no attitude given the target ""Donald Trump""",neutral
2,@WhipHoyer @CorlessJones haha ACA is far from affordable you bunch of GRUBER idiots!,Donald Trump,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)),"no attitude given the target ""Donald Trump""",neutral
3,GRATE TWO SEE @realDonaldTrump GET TUFF ON BOARDER CONTROL! HAS MY VOTE IN 2016! #TCOT #ILLEGALSSTOLEJOBS,Donald Trump,FAVOR,∀x ((is Donald Trump(x) ∧ gets tough on border control(x)) ∧ has my vote(x)),"Support the given target ""Donald Trump""",support
4,@realDonaldTrump WE WANT TRUMP! WE WANT TRUMP! WE WANT TRUMP!!! #MakeAmericaGreatAgain,Donald Trump,FAVOR,∀x (is Donald Trump(x)),"Support the given target ""Donald Trump""",support
5,"The Left fear Donald Trump, BIG TIME! @realDonaldTrump",Donald Trump,FAVOR,"∀x (fears y(x, Donald Trump) → is opposed(x))","Opposed to the given target ""Donald Trump""",opposed
6,@ouchinagirl @TrumpNY2016 @GOP TRUMP FOR PRESIDENT AS HE DOESN'T MINCE WORDS!!!!,Donald Trump,FAVOR,∀x ((is a presidential candidate(x) ∧ ¬minces words(x)) → is supported(x)),"Support the given target ""Donald Trump""",support
7,@RWSurferGirl it's not a racial tragedy nor an Islamic one either. Only patriots care for all.,Donald Trump,AGAINST,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)),"no attitude given the target ""Donald Trump""",neutral
8,Donald Trump is only saying what ALL the other 2016 GOP Presidential candidates are thinking! Bad things!! #GOP #Trump #POTUS,Donald Trump,AGAINST,∀x ((is Donald Trump(x) ∧ is saying what other GOP candidates are thinking(x)) → is perceived as bad(x)),"Support the given target ""Donald Trump""",support
9,Clearly @realDonaldTrump has very good finance people because his shocking racist comments proves he not an intelligent human!,Donald Trump,AGAINST,∀x ((is Donald Trump(x) ∧ makes racist comments(x)) → ¬is an intelligent human(x)),"Oppose the given target ""Donald Trump""",opposed
10,"@realDonaldTrump don't care what anybody says. In November 2016, you will have my vote. Where can I get your bumper sticker??",Donald Trump,AGAINST,∀x ((is Donald Trump(x) ∧ has support(x)) ∧ desires to obtain a bumper sticker(x)),"Support the given target ""Donald Trump""",support
11,"Really #DonaldTrump, all Mexican people are rapists, but you assume SOME are good people... #IdiotNation #facepalm",Donald Trump,AGAINST,∀x ((is Donald Trump(x) ∧ makes a generalization about Meican people(x) ∧ believes all Meican people are rapists(x) ∧ assumes some Meican people are good people(x)) → is opposed(x)),"Oppose the given target ""Donald Trump""",opposed
12,RT veriphile: FF #Patriot --> Phil1863. Thanks for following back!! #Truth #Liberty #Justice #ProLife #ProIsrael #2A #Rise...,Donald Trump,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)),"no attitude given the target ""Donald Trump""",neutral
13,I wonder if Trump is at the Mexico soccer game in Chicago? I hear he has a lot of supporters there,Donald Trump,AGAINST,∀x ((is Donald Trump(x) ∧ is at the Meico soccer game in Chicago(x)) ∧ has a lot of supporters(x)),Support the given target 'Donald Trump',support
14,"@MichelleFields ""It's not SCOTUS' job to fix up Congress's mess!"" #Cashinin",Donald Trump,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)),"no attitude given the target ""Donald Trump""",neutral
15,America: Isn't it time we ignored Donald Trump? He's not a serious person. @NYPD should revoke his gun permit. #Immigration #NBC,Donald Trump,AGAINST,∀x (is Donald Trump(x) → ¬is a serious person(x) ∧ has a gun permit(x)),"Oppose the given target ""Donald Trump""",opposed
16,"Silence is golden, yes, but when silence is all there is...it is way too loud! ~john tarter #tcot",Donald Trump,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)),"no attitude given the target ""Donald Trump""",neutral
17,@realDonaldTrump first time voting and I'm definitely voting for Trump,Donald Trump,FAVOR,∀x (is voting(x) → is Donald Trump(x)),"Support the given target ""Donald Trump""",support
18,Left-wing media trying to silence @realDonaldTrump? HAHAHA Keep trying! Trump is NOT a career politician & he won't be bought!,Donald Trump,AGAINST,∀x ((is trying to silence Donald Trump(x) ∧ ¬is a career politician(x)) → ¬can be bought(x)),"Support the given target ""Donald Trump""",support
19,@realDonaldTrump You are absolutely right on the border! Bush and company are afraid to address it! #MakeAmericaGreatAgain,Donald Trump,AGAINST,∀x ((is Donald Trump(x) → is right on the border(x)) ∧ (¬is Donald Trump(x) → is afraid to address the border(x))),"Support the given target ""Donald Trump""",support
20,"We the people has become ""We the sheeple""",Donald Trump,NONE,∀x (x = is Donald Trump(x) → is opposed(x)),"Opposed to the given target ""Donald Trump""",opposed
21,.@realDonaldTrump should've kept his mouth shut & not run for Pres. He is making the biggest fool out of himself. He's fired,Donald Trump,AGAINST,∀x ((is a person(x) ∧ ran for President(x)) → is making a fool out of himself(x)) → is opposed(Donald Trump),"Oppose the given target ""Donald Trump""",opposed
22,BretBaier ShannonBream remind Obama that the 2nd Amendment is here to stay as well! #TCOT #MOLONLABE #2A,Donald Trump,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)),"no attitude given the target ""Donald Trump""",neutral
23,"......and some, I assume, are good people.",Donald Trump,AGAINST,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)),"no attitude given the target ""Donald Trump""",neutral
24,So I'm guessing there won't be a #SlovenianFirstLady in #TheWhiteHouse!,Donald Trump,AGAINST,∀x ((is a Slovenian First Lady(x) ∧ is in the White House(x)) → ¬is Donald Trump(x)),"Opposed to the given target ""Donald Trump""",opposed
25,"Donald Trump....you're fired, fired, & fired again!",Donald Trump,AGAINST,∀x (is fired(x) → is opposed(x)),Opposed to the given target 'Donald Trump',opposed
26,@RepGoodlatte a weak response on #KellyFile to Obama blame @ImmigrationGOP hit back at Obama hard. #Hannity #kellyfile,Donald Trump,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)),"no attitude given the target ""Donald Trump""",neutral
27,"Looking at presidential candidates, there is only one candidate, who can stand tall, and is all heads and shoulders. #Trump",Donald Trump,FAVOR,∀x ((is a presidential candidate(x) ∧ is Donald Trump(x)) → (can stand tall(x) ∧ is all heads and shoulders(x))),Support the given target 'Donald Trump',support
28,"@boxxers06 This may be true. However, many Americans also travel to these and other places to do the exact same thing.",Donald Trump,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)),"no attitude given the target ""Donald Trump""",neutral
29,@meetthepress @ron_fournier @realDonaldTrump Typical Liberal Media. Trump has now evolved. He is now non Mexican Pro Life.,Donald Trump,AGAINST,∀x ((is Donald Trump(x) ∧ has evolved(x)) → (is non-Meican(x) ∧ is pro-life(x))),"Support the given target ""Donald Trump""",support
30,"hey y'all giving a big old s/o to donald trump, we settled our differences and are butt tight now",Donald Trump,FAVOR,"∀x (gives a shout-out to y(x, is Donald Trump) ∧ and y have settled their differences(x, is Donald Trump) ∧ and y have a close relationship(x, is Donald Trump))","Support the given target ""Donald Trump""",support
31,"@business ""@HillaryClinton can't even manage @billclinton and she wants to be @POTUS"" #lol #OhHillNo #StopHillary2016",Donald Trump,AGAINST,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)),"no attitude given the target ""Donald Trump""",neutral
32,@CNNPolitics @Eugene_Scott Careful Donald. Don't get carried away.,Donald Trump,AGAINST,∀x (x = is Donald Trump(x) → is opposed(x)),"Opposed to the given target ""Donald Trump""",opposed
33,"@realDonaldTrump did not apply to immigrants one of the trade basis, WIN TO WIN. Ignorance can not be excuse",Donald Trump,AGAINST,∀x ((is Donald Trump(x) ∧ did not apply the trade basis to immigrants(x) ∧ is immigrants(x)) → is opposed(x)),"Oppose the given target ""Donald Trump""",opposed
34,"The #Obama Presidency: Has There Ever a Point in Time When He HASN'T Been Lying to #WeThePeople? RE: The ""Liar-in-Chief",Donald Trump,AGAINST,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)),"no attitude given the target ""Donald Trump""",neutral
35,@johnnydollar01 @kilmeade That there can be complete #ASSHOLES like,Donald Trump,AGAINST,∀x ((is mentioned(x) ∧ is Donald Trump(x)) → is mentioned in a negative contet(x)),"Opposed to the given target ""Donald Trump""",opposed
36,I'll believe it when I see it. #BringBackOurUranium,Donald Trump,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)),"no attitude given the target ""Donald Trump""",neutral
37,After today SCOTUS has passed more legislation than congress. #tcot,Donald Trump,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)),"no attitude given the target ""Donald Trump""",neutral
