ID,Tweet,Target,Stance,FOL,FOLC,Pred
1,Always a delight to see chest-drumming alpha males hiss and scuttle backwards up the wall when a feminist enters the room. #manly,Feminist Movement,FAVOR,∀x ((is a feminist(x) → (is an alpha male(x) ∧ reacts negatively(x) ∧ feels intimidated(x)))),"Support the given target ""Feminist Movement""",support
2,Sometimes I overheat and want to take off my shirt but can't because of social expectations of people with breasts. ;n;,Feminist Movement,FAVOR,∀x (challenges social epectations(x) → represents the feminist movement(x)),"Support the given target ""Feminist Movement""",support
3,"If feminists spent 1/2 as much time reading papers as they do tumblr they would be real people, not ignorant sexist bigots.",Feminist Movement,AGAINST,∀x ((is a feminist(x) ∧ ¬reads papers(x) ∧ spends time on Tumblr(x)) → (¬is ignorant(x) ∧ ¬is a seist bigot(x))),"Opposed to the given target ""Feminist Movement""",opposed
4,"Stupid Feminists, the civilization you take for granted was built with the labour, blood sweat and tears of men.",Feminist Movement,AGAINST,"∀x ((is the feminist movement(x) → takes civilization for granted(x)) ∧ (is built with the labor, blood, sweat, and tears of men(x) → is the feminist movement(x)))","Oppose the given target ""Feminist Movement""",opposed
5,YOU'RE A GIRL AND HAVE A SEX DRIVE!? YOU MUST BE A SLUT! #feminist,Feminist Movement,FAVOR,∀x (is the Feminist Movement(x) → is opposed(x)),"Oppose the given target ""Feminist Movement""",opposed
6,Suns out.... Dresses out... #StreetHarassment out... This shouldn't be daily life #YesAllWomen @EverydaySexism,Feminist Movement,FAVOR,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is the Feminist Movement(x)),"no attitude given the target ""Feminist Movement""",neutral
7,Women's rights are #humanrights! Join the #CPDvoices twitter rally at 3pm ET if you agree! #CPD48,Feminist Movement,FAVOR,∀x ((is the feminist movement(x) → supports women's rights(x)) ∧ (is the feminist movement(x) → encourages participation(x))),"Support the given target ""Feminist Movement""",support
8,So you support unequal pricing based on gender @CamilleBogrand? Don't you normally call that sexism? #EqualPayDay,Feminist Movement,FAVOR,∀x ((supports unequal pricing based on gender(x) ∧ calls unequal pricing based on gender seism(x)) → ¬is part of the Feminist Movement(x)),"Opposed to the given target ""Feminist Movement""",opposed
9,These pics of #pornstars with/without makeup? Just perpetuating the myth that women need makeup to be considered pretty.,Feminist Movement,FAVOR,∀x ((is a picture of pornstars with/without makeup(x) → perpetuates the myth that women need makeup to be considered pretty(x)) ∧ is related to the feminist movement(x)),"Oppose the given target ""Feminist Movement""",opposed
10,#YesAllWomen should know how to protect herself. Which is why I carry a gun. #republicanvalues,Feminist Movement,FAVOR,∀x ((is the Feminist Movement(x) → ¬should know how to protect herself(x)) ∧ (is the Feminist Movement(x) → ¬carries a gun(x)) ∧ (is the Feminist Movement(x) → ¬is associated with Republican values(x))),"Opposed to the given target ""Feminist Movement""",opposed
11,links in sauga gotta stop chincing girls and taking away that extra bit #iknowyoudoit #equality,Feminist Movement,FAVOR,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is related to the Feminist Movement(x)),"no attitude given the target ""Feminist Movement""",neutral
12,RT @isocynic: I support whatever team buck supports #truefan #socceroos #bodypositive,Feminist Movement,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is the Feminist Movement(x)),"no attitude given the target ""Feminist Movement""",neutral
13,tired of anti-womanist respectability politics. we need a safe space for women can look like they're at the club at an interview,Feminist Movement,FAVOR,∀x ((is tired of respectability politics(x) ∧ wants a safe space for women(x)) → wants women to epress themselves freely(x)),"Support the given target ""Feminist Movement""",support
14,"If you're a feminist AND you hate men, please kill yourself.",Feminist Movement,AGAINST,∀x ((is a feminist(x) ∧ hates men(x)) → should kill themselves(x)),"Opposed to the given target ""Feminist Movement""",opposed
15,"Women don't make 75% less than men for the same job. Women, on average, make less then men. Look it up feminazis. #EqualPayDay",Feminist Movement,AGAINST,∀x ((is a woman(x) ∧ makes less than men(x)) ∧ is a feminist(x)) → is opposed(x),"Oppose the given target ""Feminist Movement""",opposed
16,@lucyblakeman12 You need feminism more than you need anything else in your life. You couldn't survive or speak w/o it.,Feminist Movement,FAVOR,∀x (is the Feminist Movement(x) → (is essential for survival(x) ∧ is essential for communication(x))),"Support the given target ""Feminist Movement""",support
17,"MRAs just tried to ""enlighten"" me, which went about as well as the flight of the Hindenburg.",Feminist Movement,FAVOR,"∀x (is MRAs(x) ∧ attempted to ""enlighten"" y(x, me) ∧ was unsuccessful in enlightening y(x, me)) → is opposed(is the feminist movement)","Oppose the given target ""Feminist Movement""",opposed
18,Why do girls/women spend so much time to be pretty and attractive and then complain if they're reduced to a sex symbol?,Feminist Movement,AGAINST,∀x ((spends time to be pretty and attractive(x) ∧ complains if reduced to a se symbol(x)) → ¬is part of the feminist movement(x)),"Oppose the given target ""Feminist Movement""",opposed
19,@randomtweetor i hate to break it to u bruh but women do get pretty for us. They get pretty to show other women #feminist,Feminist Movement,FAVOR,∀x ((gets pretty(x) ∧ shows other women(x)) ∧ ¬(gets pretty(x) ∧ is attracted to(x))),"Opposed to the given target ""Feminist Movement""",opposed
20,"Job should always go to best candidate, regardless of gender. Gender shouldn't even matter anymore, it's 2015! #PaulHenry",Feminist Movement,FAVOR,∀x ((is gender(x) ∧ should not be a factor(x)) → is the feminist movement(x)) ∧ It is 2015,"Support the given target ""Feminist Movement""",support
21,"What do you say to a woman with two black eyes? Nothing, she's already been told twice.",Feminist Movement,AGAINST,is opposed(is the feminist movement),"Oppose the given target ""Feminist Movement""",opposed
22,Did you know? Gender stereotypes as we know then developed with beginning of the 18. century. #gender,Feminist Movement,FAVOR,∀x ((is a stereotype(x) ∧ developed in the 18th century(x)) → ¬is the Feminist Movement(x)),"no attitude given the target ""Feminist Movement""",neutral
23,the time for gender equality is NOW!,Feminist Movement,FAVOR,∀x (is the feminist movement(x) → is supportive(x)),"Support the given target ""Feminist Movement""",support
24,"As Chip Kidd announces the readers & asks us to hold their applause, the audience cant hold it back for @GloriaSteinem #poetry",Feminist Movement,NONE,∀x (applauds(x) → is related to the Feminist Movement(x)),"Support the given target ""Feminist Movement""",support
25,Women get paid far more than men to appear in pornography. How come no one is talking about this blatant sexism?! @amazingatheist,Feminist Movement,AGAINST,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is the Feminist Movement(x)),"no attitude given the target ""Feminist Movement""",neutral
26,You know you're in a patriarchy when women are the ones who are blamed for prostitution #whatisjustice #inequality,Feminist Movement,FAVOR,"∀x ((Patriarchy(x) ∧ Patriarchy) → blames y(x, women))","Support the given target ""Feminist Movement""",support
27,When is it ok for a married 49-year-old CEO to use his power and influence to shag his 22-year-old intern? #AskHillary,Feminist Movement,FAVOR,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is related to the feminist movement(x)),"no attitude given the target ""Feminist Movement""",neutral
28,I love that girl @EricWynalda on @meganrapinoe_15 What the hell @FOXSports1? Way to diminish women's soccer #USWNT,Feminist Movement,FAVOR,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is the feminist movement(x)),"no attitude given the target ""Feminist Movement""",neutral
29,"Men don't have a right to talk over you, you're voice is important, you are a goddess and don't deserve to be silenced",Feminist Movement,FAVOR,∀x ((represents the feminist movement(x) → ¬talks over women(x)) ∧ (represents the feminist movement(x) → 's voice is important(x)) ∧ (represents the feminist movement(x) → ¬is silenced(x))),"Support the given target ""Feminist Movement""",support
30,FINALLY A WOMEN RUNNING FOR PRESIDENT,Feminist Movement,FAVOR,∀x ((is mentioned(x) ∧ is a woman(x) ∧ is running for president(x)) → is part of the feminist movement(x)),"Support the given target ""Feminist Movement""",support
31,"Pissed that I got ""talked to"" but he didn't",Feminist Movement,FAVOR,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is the Feminist Movement(x)),"no attitude given the target ""Feminist Movement""",neutral
32,"@SirWilliamValen insulting, thinking you can make a switch like that. if it wasn't written for us, it wasn't for us",Feminist Movement,NONE,∀x (is the Feminist Movement(x) → is opposed(x)),"Oppose the given target ""Feminist Movement""",opposed
33,"@Yaahnemba Have you ever thought that maybe ""blue jeans"" hates you? Not everyone in the world is made for each other.",Feminist Movement,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is the Feminist Movement(x)),"no attitude given the target ""Feminist Movement""",neutral
34,I believe that every women should have their own rights!!,Feminist Movement,FAVOR,∀x (believes that women should have their own rights(x) → is the feminist movement(x)),"Support the given target ""Feminist Movement""",support
35,@TheRuIes @xDirtyDianna why not she's clearly a part of the squad females can't be with guys without being looked at as a hoe,Feminist Movement,FAVOR,∀x ((is a female(x) ∧ is a guy(x)) → is looked at as a hoe(x)),"Opposed to the given target ""Feminist Movement""",opposed
36,It upsets me how people are so narrow-minded when it comes to feminism. STEREOTYPING MEN IS NOT .,Feminist Movement,FAVOR,∀x ((is the feminist movement(x) → is narrow-minded(x)) ∧ (stereotypes men(x) → ¬is acceptable(x))),"Support the given target ""Feminist Movement""",support
37,I am obsessed with becoming a woman comfortable in her skin. Sandra Cisneros #latinx #woc,Feminist Movement,FAVOR,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is the Feminist Movement(x)),"no attitude given the target ""Feminist Movement""",neutral
38,I just yelled at my boyfriend for trying to let me win for Mortal Kombat X.,Feminist Movement,FAVOR,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is the feminist movement(x)),"no attitude given the target ""Feminist Movement""",neutral
39,"Extinction of insects,dangerous herbs,gigolo services,religious fanaticism,fake BEERcans-Y Malaysia Radio&media FAIL2discuss?",Feminist Movement,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is the Feminist Movement(x)),"no attitude given the target ""Feminist Movement""",neutral
40,RT @WGSndsu: Let's demand less cat-calling and more cats! #ndsufeminist #Feminist #cats #DogsCanComeToo,Feminist Movement,FAVOR,∀x ((is mentioned(x) ∧ supports(x)) → is the Feminist Movement(x)),"Support the given target ""Feminist Movement""",support
41,Anyone find it funny that #Feminists use #TakeitLikeAMan when they don't want to understand what it means to be one?,Feminist Movement,AGAINST,∀x ((is a feminist(x) ∧ ¬understands what it means to be a feminist(x)) → uses #TakeitLikeAMan(x)),"Oppose the given target ""Feminist Movement""",opposed
42,.@MyRainbowNinja @NotAllBhas This farm is fucking disgusting.,Feminist Movement,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is the Feminist Movement(x)),"no attitude given the target ""Feminist Movement""",neutral
