ID,Tweet,Target,Stance,Ans,needbkl,restated_sentence,extracted_knowledge
0,RT @GunnJessica: Because I want young American women to be able to be proud of the 1st woman president,Hillary Clinton,FAVOR,"∀x (is a woman president(x) ∧ is proud of(x, Hillary Clinton)) → support",1,Retweeting Jessica Gunn who stated that she wants young American women to have the opportunity to be proud of having the first woman president.,"[W]omen and girls ... [are] central to our foreign policy,"" adding that nations that support women are more stable and ""less likely to breed extremism."" Clinton has promoted equal pay for equal work and proposes action to close the gender pay gap. She supports the Paycheck Fairness Act. As a Senator, Clinton co-sponsored the Lilly Ledbetter Fair Pay Act of 2009; during her 2016 campaign, Clinton received the endorsement of the Act's namesake, Lilly Ledbetter. Clinton has called for the U.S. to ratify the Convention on the Elimination of All Forms of Discrimination Against Women, which was signed by President Jimmy Carter in 1980 but never ratified by the Senate. Clinton said in 2016 that if elected president, she will fill half of her Cabinet with women, a move that would be historic in the United States. Gender-equal cabinets are rare worldwide."
1,@Chris_1791 @newsbusters 2 years ago #Hillary never answered whether she used private email #Liberal media passed on reporting,Hillary Clinton,AGAINST,∀x (is Hillary Clinton(x) ∧ never answered whether she used private email(x) ∧ is passed on reporting(x)) → opposed,1,"Two years ago, Hillary Clinton never answered the question of whether she used a private email. The liberal media chose not to report on it. The tweet is directed at Chris and Newsbusters.",
2,"@dnewhauser take that, Marco Rubio. @GOP cannot pander to the Latino vote while pushing policies that hurt the community most.",Hillary Clinton,NONE,"Let's break it down step by step. First, simplify the sentence to extract relevant information related to the target attitude. Then, provide the attitude conclusion.

Simplified Sentence: The Republican Party cannot appeal to the Latino vote and enact policies that negatively impact the community.

Attitude Conclusion: The attitude towards Hillary Clinton is Neutral.

First-order logic:
L(x): x is the Latino vote.
P(x): x is a policy.
N(x): x has a negative impact.
Neutral: ∀x ((L(x) ∧ P(x)) → N(x))",0,"Hey dnewhauser, it's a response to Marco Rubio. The Republican Party cannot make efforts to appeal to the Latino vote and also enact policies that have negative impacts on the community.",
3,@StateDept @AmbCathyRussell @AdamSmith_USA @HillaryClinton @HillaryforIA @BarackObama The whole #world is supporting you.,Hillary Clinton,FAVOR,∀x (is supporting(x) → is supporting(Hillary Clinton)) → support,1,"The State Department, Ambassador Cathy Russell, Adam Smith, Hillary Clinton, Hillary's campaign for Iowa, and Barack Obama are being supported by the entire world.",
4,Lets remember #dickcheney is an unindicted war criminal b4 we start yelling #Benghazi day after day. Will we ever see justice?,Hillary Clinton,NONE,"Let's break it down step by step. First, simplify the sentence to extract relevant information related to the target attitude. Then, provide the attitude conclusion.

Simplified Sentence: No mention or reference to given target 'Hillary Clinton'

Attitude Conclusion: The attitude towards Hillary Clinton is Neutral.
First-order logic:
M(x): x is mentioned.
R(x): x is referenced.
H(x): x is Hillary Clinton.
Neutral: ∀x (¬(M(x) ∨ R(x)) → ¬H(x))",0,"Before we keep talking about Benghazi every day, let's not forget that Dick Cheney is a war criminal who has not been indicted. Do you think justice will ever be served?",
5,"Although I certainly have disagreements, after reading about @GovernorOMalley I much rather have him than @HillaryClinton.",Hillary Clinton,AGAINST,∀x ((is preferred(is Governor O'Malley(x)) ∧ ¬is preferred(is Hillary Clinton(x)))) → opposed,1,"Although I do have some disagreements, after reading about Governor O'Malley on Twitter, I would prefer him as a candidate over Hillary Clinton.",
6,Human rights are women's rights and women's rights are human rights. - Hillary Clinton,Hillary Clinton,FAVOR,∀x (stated that human rights are women's rights and women's rights are human rights(x) → is supportive(x)) → support,1,"Hillary Clinton said that human rights and women's rights are the same, and should not be separated.","Clinton made LGBT rights a central issue in her campaign. In addition to promoting broader LGBT rights, she also advocates for the right for transgender people to serve in the military. Clinton condemned Indiana's Religious Freedom Restoration Act. She supported the Obergefell v. Hodges ruling. She also endorsed the Equality Act of 2015. In December 2015, Clinton published a plan for LGBT rights. The next month, the Human Rights Campaign endorsed her for president.
Clinton gave an influential speech called 'Women's Rights are Human Rights' on September 5, 1995, at the United Nations Fourth World Conference on Women in Beijing."
7,"Would you wanna be in a long term relationship with some bitch that hides her emails, & lies to your face? Then #Dontvote",Hillary Clinton,AGAINST,∀x ((is Hillary Clinton(x) ∧ (hides emails(x) ∨ lies(x))) → ¬should be voted for(x)) → opposed,1,"Would you want to be in a long term relationship with someone who hides their emails and lies to your face? If not, then do not vote for Hillary Clinton.",
8,Bill Clinton just wants to be the first dude to be President and bang one.,Hillary Clinton,NONE,"¬(wants to be the first dude to be President(Bill Clinton) ∧ has a romantic relationship with y(Bill Clinton, Hillary Clinton)) → neutral",1,Bill Clinton supposedly desires to become the first male spouse of a President and engage in sexual activity with a woman.,
9,@HuffPostPol If @HillaryClinton can do half of what he did then she would be doing is a favor,Hillary Clinton,FAVOR," Let's break it down step by step. First, simplify the sentence to extract relevant information related to the target attitude. Then, provide the attitude conclusion.

Simplified Sentence: Hillary Clinton's accomplishments would be beneficial if she could achieve 50% of what she did.

Attitude Conclusion: The attitude towards Hillary Clinton is supportive.

First-order logic:
H(x): x is Hillary Clinton.
A(x): x's accomplishments are beneficial.
C(x): x achieves 50% of what he did.
Support: ∀x ((H(x) ∧ C(x)) → A(x))",0,"If Hillary Clinton can accomplish only 50% of what he did, it would be a great benefit.",
10,"I've made my decision, to the shock of no one probably, who I'm supporting",Hillary Clinton,NONE," Let's break it down step by step. First, simplify the sentence to extract relevant information related to the target attitude. Then, provide the attitude conclusion.

Simplified Sentence: The speaker supports Hillary Clinton.

Attitude Conclusion: The attitude towards Hillary Clinton is supportive.

First-order logic:
S(x): x supports Hillary Clinton.
Support: S(Hillary Clinton)",0,"I have decided to support Hillary Clinton, which is not surprising for anyone.",
11,"Didn't realize Bob Dole was mentioned in Tupac's ""How do u want it"" #YesterdaysLeaders",Hillary Clinton,NONE," Let's break it down step by step. First, simplify the sentence to extract relevant information related to the target attitude. Then, provide the attitude conclusion.

Simplified Sentence: Bob Dole was referenced in Tupac's song 'How do you want it'. The hash tag used was #YesterdaysLeaders.

Attitude Conclusion: The attitude towards Hillary Clinton is Neutral.

First-order logic:
M(x): x is mentioned.
R(x): x is referenced.
H(x): x is Hillary Clinton.
Neutral: ∀x (¬(M(x) ∨ R(x)) → ¬H(x))",0,I did not know that Bob Dole was referenced in Tupac's song 'How do you want it'. The hash tag used was #YesterdaysLeaders.,
12,If I run for office this will be my original logo:          M   #libertynothillary  #HillNo #tcot #UniteBlue,Hillary Clinton,AGAINST,∀x ((is mentioned(x) ∧ is Hillary Clinton(x)) → is mentioned in a negative contet(x)) → opposed,1,"If I decide to run for office, I will make a logo with the letter M in it. I do not support Hillary Clinton (#HillNo). I support the idea of liberty instead of her (#libertynothillary). I am part of the conservative movement (#tcot) and I am also a member of the Democratic Party (#UniteBlue).",
13,I will be there when your little tree has run out of smell. #ThatChampion,Hillary Clinton,NONE," Let's break it down step by step. First, simplify the sentence to extract relevant information related to the target attitude. Then, provide the attitude conclusion.

Simplified Sentence: The speaker will support Hillary Clinton even when she is no longer popular.

Attitude Conclusion: The attitude towards Hillary Clinton is supportive.

First-order logic:
S(x): x supports Hillary Clinton.
P(x): x is popular.
N(x): x is no longer popular.
Support: S(x) ∧ (P(x) → ¬N(x))",0,I will support you even when you're no longer popular like a tree that has lost its fragrance. #ThatChampion,
14,crazy to think next up for the Oval Office is either going to be Hillary or a Republican,Hillary Clinton,AGAINST,∀x (is the net person for the Oval Office(x) → (is Hillary Clinton(x) ∨ is a Republican(x))) → neutral,1,It's crazy to think that either Hillary Clinton or a Republican will be the next President of the United States.,
15,@NACLA @BrasilWire SOS OBAMA Who?? @BarackObama ?? :-))))  Are you joking? #StopDilma #StopLula #StopForodeSaoPaulo,Hillary Clinton,NONE,"Let's break it down step by step. First, simplify the sentence to extract relevant information related to the target attitude. Then, provide the attitude conclusion.

Simplified Sentence: The speaker is asking for help from former President Barack Obama to stop Dilma, Lula, and the Sao Paulo Forum. No mention or reference to given target 'Hillary Clinton'.

Attitude Conclusion: The attitude towards Hillary Clinton is Neutral.
First-order logic:
M(x): x is mentioned.
R(x): x is referenced.
H(x): x is Hillary Clinton.
Neutral: ∀x (¬(M(x) ∨ R(x)) → ¬H(x))",0,"National Lawyers Guild and BrazilianWire, we need help from former President Barack Obama, are you kidding me? We hope he can help us stop Dilma, Lula, and the Sao Paulo Forum.",
16,@CheekyGent @ChuckCJohnson Hey Hillary is on her to way to buy votes too! #HillarySoOld,Hillary Clinton,AGAINST,∀x ((is mentioned(x) ∧ is Hillary Clinton(x)) → is negatively commented on(x)) → opposed,1,"Hey CheekyGent and ChuckCJohnson, someone is implying that Hillary Clinton is buying votes. They also added a hashtag #HillarySoOld.",
17,"RT @NicolaSturgeon: ""It's official: Hillary's running for president,"" says her campaign chief. Excellent!",Hillary Clinton,FAVOR,∀x (is running for president(x) → is supported(x)) → support,1,"Nicola Sturgeon retweeted a statement from Hillary Clinton's campaign chief declaring that she is officially running for president, and Sturgeon expressed her approval with the word 'excellent'.",
18,"Only in a SEXIST AS FUK world would we question the ""qualifications"" of a former SECRETARY OF STATE.",Hillary Clinton,FAVOR,∀x ((is seist(x) → ¬has qualifications(x)) ∧ is a former Secretary of State(Hillary Clinton)) → support,1,It is only in a world that is sexist as f*ck that we would doubt the abilities of a person who has previously held the position of Secretary of State.,
19,@ChrisChristie couldn't run his way out of a paper bag let alone beat #HillaryClinton. Go home Chris u r drunk. #ChrisChristie,Hillary Clinton,FAVOR,"∀x (¬can beat y(x, Hillary Clinton) ∧ is drunk(x) ∧ should go home(x)) → support",1,Chris Christie is incapable of winning against Hillary Clinton even if he tries hard. It would be better for him to go home as he seems drunk.,
20,"@ReformedBroker ""to da honies gittin money playing #bleep words like dummies"" #POPPA",Hillary Clinton,NONE,"Let's break it down step by step. First, simplify the sentence to extract relevant information related to the target attitude. Then, provide the attitude conclusion.

Simplified Sentence: The phrase 'to the honeys getting money playing curse words like dummies' is being quoted with the hashtag 'Poppa' attached to it in reference to Hillary Clinton.

Attitude Conclusion: The attitude towards Hillary Clinton is neutral.

First-order logic:
M(x): x is mentioned.
R(x): x is referenced.
H(x): x is Hillary Clinton.
Neutral: ∀x (¬(M(x) ∨ R(x)) → ¬H(x))",0,"Reformed Broker, the phrase 'to the honeys getting money playing curse words like dummies' is being quoted here with the hashtag 'Poppa' attached to it in reference to Hillary Clinton.",
21,Forgive #CherylRios of her stupid comments about women being president. She will blame it on that time of the month anyways.,Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)) → neutral,1,Let's forgive Cheryl Rios for her ignorant remarks about women being president. She might use menstruation as an excuse anyway. #CherylRios,
22,Low key it would be interesting to have a female president.,Hillary Clinton,FAVOR,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)) → neutral,1,"On a less noticeable level, it would be intriguing to see a woman hold the position of the president.",
23,"@seanhannity we lost 4,000 of our Military boys when your President pulled out of Iraq.  #LiberalConsequences",Hillary Clinton,AGAINST,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)) → neutral,1,"Sean Hannity, we lost 4,000 of our Military boys when your President (Barack Obama) pulled out of Iraq. This is a consequence of liberalism. #LiberalConsequences",
