ID,Tweet,Target,Stance,Ans,needbkl,restated_sentence,extracted_knowledge
0,they legalized gay marriage???!!!  what's next?!?!? CRACK?!!!?,Donald Trump,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)) → neutral,1,"Did they just legalize gay marriage? What's next, will they legalize crack too?",
1,@WhipHoyer @CorlessJones haha ACA is far from affordable you bunch of GRUBER idiots!,Donald Trump,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)) → neutral,1,"Whip Hoyer and Corless Jones are being mocked for believing that the Affordable Care Act is actually affordable, by calling them Gruber idiots.",
2,GRATE TWO SEE @realDonaldTrump GET TUFF ON BOARDER CONTROL!  HAS MY VOTE IN 2016!  #TCOT #ILLEGALSSTOLEJOBS,Donald Trump,FAVOR,∀x ((is Donald Trump(x) ∧ gets tough on border control(x)) ∧ has my vote(x)) → support,1,Great to see Donald Trump getting tough on border control! He has my vote in 2016! #TCOT #ILLEGALSSTOLEJOBS.,
3,@realDonaldTrump  WE WANT TRUMP! WE WANT TRUMP! WE WANT TRUMP!!! #MakeAmericaGreatAgain,Donald Trump,FAVOR,∀x (is Donald Trump(x)) → support,1,"Donald Trump, we want you! The people want you to lead America and make it great again! #MakeAmericaGreatAgain",
4,"The Left fear Donald Trump, BIG TIME! @realDonaldTrump",Donald Trump,FAVOR,"∀x (fears y(x, Donald Trump) → is opposed(x)) → opposed",1,The Left is afraid of Donald Trump to a great extent.,
5,@ouchinagirl @TrumpNY2016 @GOP TRUMP FOR PRESIDENT AS HE DOESN'T MINCE WORDS!!!!,Donald Trump,FAVOR,∀x ((is a presidential candidate(x) ∧ ¬minces words(x)) → is supported(x)) → support,1,"Ouchinagirl, TrumpNY2016 and GOP support Donald Trump for president because he speaks his mind without hesitation.",
6,@RWSurferGirl it's not a racial tragedy nor an Islamic one either. Only patriots care for all.,Donald Trump,AGAINST,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)) → neutral,1,It is not a tragedy based on race or religion. Only people who love their country care for everyone.,
7,Donald Trump is only saying what ALL the other 2016 GOP Presidential candidates are thinking! Bad things!! #GOP #Trump #POTUS,Donald Trump,AGAINST,∀x ((is Donald Trump(x) ∧ is saying what other GOP candidates are thinking(x)) → is perceived as bad(x)) → support,1,Donald Trump is vocalizing the thoughts shared by all the other 2016 GOP Presidential candidates which are considered to be negative by many people.,
8,Clearly @realDonaldTrump has very good finance people because his shocking racist comments proves he not an intelligent human!,Donald Trump,AGAINST,∀x ((is Donald Trump(x) ∧ makes racist comments(x)) → ¬is an intelligent human(x)) → opposed,1,"It is evident that Donald Trump has a competent finance team. However, his racist remarks are an indication that he is lacking in intelligence as a human being.",
9,"@realDonaldTrump don't care what anybody says. In November 2016, you will have my vote. Where can I get your bumper sticker??",Donald Trump,AGAINST,∀x ((is Donald Trump(x) ∧ has support(x)) ∧ desires to obtain a bumper sticker(x)) → support,1,"Donald Trump, I don't care what anybody says. I will vote for you in the November 2016 election. Can you tell me where I can find and get your bumper sticker?",
